epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,434.261,0,91.2712,0,0,0,0,0,0,164.948,0,0.000661538,0.000661538,0.000661538
2,850.569,0,46.2486,0,0,0,0,0,0,452.863,0,0.00119671,0.00119671,0.00119671
3,1265.16,0,17.2352,0,0,0,0,0,0,17.4615,0,0.00159989,0.00159989,0.00159989
4,1682.66,0,4.42085,0,0,0,0,0,0,178.747,0,0.001406,0.001406,0.001406
5,2094.41,0,0.95136,0,0,0,0,0,0,0.79819,0,0.001208,0.001208,0.001208
6,2516.76,0,0.19679,0,0,0,0,0,0,0.13513,0,0.00101,0.00101,0.00101
7,2934.2,0,0.03302,0,0,0,0,0,0,0.04559,0,0.000812,0.000812,0.000812
8,3371.75,0,0.01659,0,0,0,0,0,0,4.26683,0,0.000614,0.000614,0.000614
9,3807.43,0,0.00499,0,0,0,0,0,0,0.04569,0,0.000416,0.000416,0.000416
10,4242.85,0,0.00311,0,0,0,0,0,0,0.39792,0,0.000218,0.000218,0.000218
